label,data
cyo,Ang lamgam ay doto sa manga langit.
fkv,En ymmärä.
fkv,Kiitos!
fkv,Kiitoksii!
fkv,Antheeksi.
fkv,Antheeksi!
fkv,Mie puhhuun telefoonissa.
fkv,Kväänikansan päivä oon 16. marsikuuta.
fkv,Saatat oppiit yhđen ja toisen sanan.
fkv,Mitä tehet?
kan,"ಪ್ರಾಮಾಣಿಕವಾಗಿ ಹೇಳಬೇಕೆಂದರೆ, ನಾನು ಗೊತ್ತಿಲ್ಲ"
kan,ಇದು ಪುಸ್ತಕ.
kan,ನಿನ್ನೆ ಬಂದ ಹುಡುಗ ನನ್ನ ತಮ್ಮ ಆಗಿದ್ದ
kan,ಗಂಟೆ ಎಷ್ಟು?
kan,"ಇದು ಟಾಮಿನ ಕನ್ನಡಕ, ನನ್ನದಿಲ್ಲ."
kan,ನೀವು ಯಾವಾಗಲಾದರೂ ಕಚ್ಚಾ ಮೀನು ತಿಂದಿದ್ದೀರಾ?
kan,ಅವನು ಅವನ ಮಗಳಿಗೆ ಹೊಸ ಬಟ್ಟೆಯನ್ನು ಖರೀದಿಸಿದನು.
kan,ಎಚ್ಚರವಾಗಿರಲು ನಾನು ಇನ್ನು ಸ್ವಲ್ಪ ಕಾಫಿ ಕುಡಿಯಬೇಕು ಅಂತ ಅನಿಸುತ್ತೆ.
kan,ಟಾಮ್ ಈಗ ನಿಮಗೆ ತಯಾರಾಗಿದ್ದಾನೆ.
krc,"Том, терекден джыгъылама деб, бутакъгъа къадалыб къалды."
krc,Сен аннъа нек къадалгъанса?
krc,Джел болмагъан кюн чибинле къадалыб къаладыла.
krc,Керексиз затланы айтыб къадала турма.
krc,Атны бойнундан къадалды.
krc,Бизни ийнамыбыз къадамады.
krc,"Тюб тамыры ярабатдан къарайды, баш булчугъу джулдузланы санайды."
krc,Аны ёмюрю таӱукъгъа юш деген болмаз.
krc,Кечигип келгеним ючюн айыб этме.
liv,Mēg ūomõ īd vannit.
liv,Vȯi täddõn attõ lapst?
liv,Kui tēḑi nutāb?
liv,"Tienū. ""Võtāgid jõvāks."""
liv,Min kīela pīlõb.
liv,Kīela um vīžtuoistõn minūtõ pūtõb kuolmõst.
liv,Sin kaš um mustā.
liv,Siņņi kȭr um ūž.
liv,Ēḑõgid mōzõ.
mfe,Mo ena de sat.
mfe,Mo ena enn ser.
mfe,Mo ena de frer.
mfe,Mo ena trwa frer.
mfe,Mo ena enn frer.
mfe,Mo pé ekrir enn liv.
pap,E Burj Khalifa awo ta e mas halto edifisio di e mundo.
pap,Kòrsou ta usa un sistema di skirbimentu fonétiko.
pap,Papiamento ta un lenga oficial na Aruba.
pap,Derecho di outodeterminashon di pueblo di Kòrsou ta apsoluto i intransferibel.
pap,Teritorio di Pais Kòrsou ta konsistí di e islanan Kòrsou i Klein-Curaçao.
pap,Mi no ta kere!
pap,Kon ta ku bo awe?
pap,Ayo!
pap,Bon tardi.
awa,ऊ हमै मालुम है।
awa,का सुन्नर सहर ह!
awa,बहोत सुन्नर रहा।
awa,इ गुलाब सुन्नर ह।
awa,इ नदी सुन्नर ह।
awa,उ बहोत सुन्नर ह।
awa,उ मेहरारू सुन्नर ह।
awa,प्राग बहोत सुन्नर ह।
awa,उ सहर सुन्नर ह।
cho,Himak affʋmmi yʋt tahlepa sipokni tuklo akocha awah tahlapi.
cho,Tobi atampa ʋpa li tuk atukon himo ʋm anshakʋt taloʋt issahe kiyo.
cho,Im ithʋna chia ho̱?
cho,Filanchi ish anumpoli ho̱?
cho,I̱kilish ish anumpoli ho̱?
cho,"Ʋmmona ka̱ Chitokaka yʋt ʋba, micha yakni aiena ka̱ ikbi tok."
cho,Ofi lusa yʋt katos tohbi pisa.
cho,Hattak sipokni ʋt binili.
cho,Ʋllatek himitta yʋt taloa.
jav,Kowé kuwi mesthi telat.
jav,ꦏꦺꦴꦮꦺꦏꦸꦮꦶꦩꦼꦱ꧀ꦡꦶꦠꦼꦭꦠ꧀
jav,Aku kuciwa marang Sampéyan.
jav,ꦲꦏꦸꦏꦸꦕꦶꦮꦩꦫꦁꦱꦩ꧀ꦥꦺꦪꦤ꧀
jav,"Kowé rak durung ndelok Tom, ta?"
jav,ꦏꦺꦴꦮꦺꦫꦏ꧀ꦢꦸꦫꦸꦁꦤ꧀ꦢꦼꦭꦺꦴꦏ꧀ꦠꦺꦴꦩ꧀ꦠ‌?
jav,Aku keciliken.
jav,ꦲꦏꦸꦏꦼꦕꦶꦭꦶꦏꦼꦤ꧀
jav,Iki artine apa?
kek,Laa'in Tom.
kek,¡B'antiox!
kek,¡Yo'o!
kek,¿Ani laa k'ab'a'?
kek,Tom lin k'ab'a'.
kek,Us.
kek,¿B'ar wan li tz'eqb'ahib'?
kek,¿B'ar wan li tz'eqleb'aal?
kek,¿B'ar wan li letrin?
sma,Manne leam nyjsenæjja.
sma,Manne leam njieljieluhkien jaepien båeries.
sma,Datne leah ålma.
sma,Datne dåaktarinie barkeminie.
sma,Dïhte lea baernie.
sma,Dïhte noereskuvlesne vaedtsieminie.
sma,Manne leam maana.
